word,lang_code,meanings
丸刈り,es,"[""corte circular"", ""Corte redondo""]"
丸抱え,es,"[""Sosteniendo todo"", ""Sosteniendo todo el asunto""]"
丸本,es,"[""Marumoto"", ""marumato""]"
丸洗い,es,"[""Completamente lavado"", ""Totalmente lavado""]"
丸洗い,ru,"[""Полностью вымытый"", ""Полностью промытый""]"
丸腰,es,"[""desarmado"", ""inerme""]"
丸裸,es,"[""completamente desnudo"", ""Completamente desnuda""]"
丸見え,es,"[""Vista completa"", ""Ver completa""]"
丹念,es,"[""minuciosamente"", ""laboriosamente""]"
丹念,ru,"[""кропотливо"", ""усердно""]"
丹精,es,"[""gran esfuerzo"", ""gran intento""]"
主,es,"[""principal""]"
主,ru,"[""1) (см.) おもな, おもなる (и) おもに【主に】"", ""2) (см.) おもあど""]"
主たる,es,"[""principal"", ""mayor"", ""importante""]"
主事,es,"[""Director"", ""Directora"", ""Gerente""]"
主体,es,"[""sujeto"", ""objeto"", ""individuo""]"
主体,ru,"[""1) субъект"", ""{～的} субъективный"", ""2) носитель (напр. заразы)""]"
主体的,es,"[""proactivo"", ""proactiva""]"
主力,es,"[""fuerza principal"", ""fuerzas principales""]"
主務,es,"[""competente"", ""capaz"", ""apto""]"
主務,ru,"[""компетентный"", ""грамотный""]"
主唱,es,"[""cantante principal"", ""vocalista principal""]"
主客,es,"[""invitado principal"", ""huésped principal""]"
主宰,es,"[""presidiendo"", ""Presidir""]"
主審,es,"[""Árbitro"", ""Referí"", ""Evaluador""]"
主将,es,"[""capitán"", ""capitanear"", ""patrón""]"
主導,es,"[""condujo"", ""dirigió"", ""dirigido""]"
主導,ru,"[""вел"", ""светодиод"", ""во главе""]"
主峰,es,"[""Pico principal"", ""Cumbre principal""]"
主峰,ru,"[""Главная вершина"", ""Основной пик""]"
主幹,es,"[""director"", ""director ejecutivo"", ""jefe ejecutivo""]"
主従,es,"[""amo y esclavo"", ""maestro y esclavo""]"
主成分,es,"[""componente principal"", ""ingrediente principal""]"
主戦,es,"[""batalla principal"", ""principal batalla""]"
主戦,ru,"[""Главное сражение"", ""Основная битва""]"
主教,es,"[""obispo"", ""alfil""]"
主文,es,"[""oración principal"", ""sentencia principal""]"
主査,es,"[""examinador jefe"", ""jefe examinador""]"
主権在民,es,"[""ciudadano soberano"", ""ciudadano soberana""]"
主権在民,ru,"[""суверенный гражданин"", ""независимый гражданин""]"
主流,es,"[""corriente principal"", ""convencional""]"
主犯,es,"[""Principal culpable"", ""culpable principal""]"
主眼,es,"[""Enfoque principal"", ""Foco principal""]"
主砲,es,"[""arma principal"", ""pistola principal""]"
主砲,ru,"[""Основное орудие"", ""Основной пистолет""]"
主税局,es,"[""oficina de impuestos principal"", ""Oficina principal de impuestos""]"
主税局,ru,"[""Главное налоговое бюро"", ""Главное налоговое управление""]"
主管,es,"[""supervisor"", ""inspector"", ""controlador""]"
主翼,es,"[""ala principal"", ""ala mayor""]"
主翼,ru,"[""Главное крыло"", ""Главный корпус""]"
主著,es,"[""Autor principal""]"
主著,ru,"[""Главный автор"", ""Основной автор""]"
主計,es,"[""presupuesto familiar"", ""Presupuesto del hogar""]"
主計局,es,"[""oficina de contabilidad"", ""oficina contable""]"
主計局,ru,"[""Бухгалтерское бюро"", ""Учетное бюро""]"
主賓,es,"[""invitado de honor"", ""huésped de honor""]"
主軸,es,"[""eje principal"", ""árbol principal""]"
乃,ru,"[""Нет"", ""Отказ"", ""№""]"
久留子,es,"[""Kuruko"", ""cross sign""]"
久留子,ru,"[""Куруко"", ""cross sign""]"
乖離,es,"[""desviación"", ""desvío"", ""cambio""]"
乗っかる,es,"[""tomar el control"", ""asumir"", ""tomar el relevo""]"
乗っ取り,es,"[""Tomar el control"", ""Toma de posesión"", ""Asunción""]"
乗っ取り,ru,"[""Перенимать"", ""Поглощение"", ""захват""]"
乗っ取る,ru,"[""основываться (на чём-л.), придерживаться (чего-л.), следовать (чему-л.)"", ""захватывать""]"
乗り,es,"[""conducir"", ""montar"", ""cabalgata""]"
乗り上げる,es,"[""encallar"", ""varar"", ""encalar""]"
乗り付け,es,"[""embarque"", ""abordaje"", ""pensión""]"
乗り付ける,es,"[""subirse"", ""acercarse"", ""subir""]"
乗り合わせる,es,"[""montar juntos"", ""cabalgar juntos""]"
乗り回す,ru,"[""ездить вокруг"", ""кататься по округе""]"
乗り場,es,"[""plataforma"", ""andén"", ""tribuna""]"
乗り心地,es,"[""Comodidad de marcha"", ""Comodidad de conducción""]"
乗り捨てる,es,"[""abandonar"", ""abandono"", ""renunciar""]"
乗り移る,es,"[""transferir"", ""transferencia"", ""de transferencia""]"
乗り組む,es,"[""subir a bordo"", ""Sube a bordo""]"
乗り継ぐ,es,"[""transferir"", ""transferencia"", ""de transferencia""]"
乗り継ぐ,ru,"[""передача"", ""перемещать"", ""трансфер""]"
乗務,es,"[""Multitud"", ""Tripulación"", ""Personal""]"
乗務,ru,"[""Экипаж"", ""Команда""]"
乗務員,es,"[""multitud"", ""tripulación"", ""personal""]"
乗合,es,"[""Paseo compartido"", ""Viaje compartido""]"
乗船,es,"[""Embarque"", ""Abordaje"", ""Pensión""]"
乗降,es,"[""Subir y bajar"", ""Subiendo y bajando""]"
乙,es,"[""clase B"", ""divertido"", ""sabroso""]"
九,es,"[""nueve (en documentos legales)"", ""aquí"", ""acá""]"
九,ru,"[""девять""]"
九州,es,"[""Kyūshū"", ""Kyushu""]"
九死,es,"[""Nueve muertes"", ""nueve muertos""]"
九重,es,"[""Kokonoé"", ""kokonoe""]"
乱れ,es,"[""trastorno"", ""desorden"", ""enfermedad""]"
乱れ飛ぶ,es,"[""volando turbulentamente"", ""volando turbulento""]"
乱れ飛ぶ,ru,"[""летать турбулентно"", ""турбулентно летать""]"
乱世,es,"[""tiempos turbulentos"", ""épocas turbulentas""]"
乱伐,es,"[""deforestación imprudente"", ""deforestación temeraria""]"
乱入,es,"[""Intrusión"", ""intrusion""]"
乱取り,ru,"[""Рандори""]"
乱売,es,"[""Error de venta"", ""Misceláneo""]"
乱射,es,"[""Disparo aleatorio"", ""tiro al azar""]"
乱戦,es,"[""pelea confusa"", ""cuerpo a cuerpo""]"
乱打,es,"[""Golpes aleatorios"", ""Visitas aleatorias""]"
乱気流,es,"[""turbulencia"", ""disturbios"", ""desorden""]"
乱気流,ru,"[""турбулентность"", ""буря""]"
乱発,es,"[""Disparo aleatorio"", ""disparo al azar""]"
乱立,es,"[""un desastre"", ""un lío""]"
乱脈,es,"[""pulso irregular"", ""pulso desigual""]"
乱舞,es,"[""danza salvaje"", ""baile salvaje""]"
乱読,es,"[""Lectura aleatoria"", ""lectura al azar""]"
乱調,es,"[""fuera de servicio"", ""Fuera de orden""]"
乱軍,es,"[""ejército antidisturbios"", ""ejercito antidisturbimiento""]"
乱闘,es,"[""pelearse"", ""riña"", ""alboroto""]"
乳業,es,"[""industria láctea"", ""Industria lechera""]"
乳牛,es,"[""vaca lechera"", ""vaca lácteos""]"
乳製品,es,"[""productos lácteos"", ""Productos lacteos""]"
乳酸菌,es,"[""bacterias del ácido láctico"", ""bacterias del acido lactico""]"
乳頭,es,"[""pezón"", ""tetilla"", ""engrasador""]"
乾き,es,"[""seco"", ""secar"", ""árido""]"
乾パン,es,"[""duro"", ""galletas duras""]"
了,ru,"["": {～とする} (кн.) понимать"", ""принимать во внимание""]"
予価,es,"[""Precio previsto"", ""Precio de pronóstico""]"
予価,ru,"[""Прогноз цены"", ""Прогнозируемая цена""]"
予備知識,es,"[""conocimientos previos"", ""Conocimiento previo""]"
予備知識,ru,"[""предварительные знания"", ""предыдущие знания""]"
予備費,es,"[""fondo de reserva""]"
予告編,es,"[""Tráiler"", ""Remolque"", ""Caravana""]"
予告編,ru,"[""Трейлер"", ""Прицеп""]"
予定表,es,"[""calendario"", ""lista"", ""calendario taco""]"
予想以上,es,"[""Más de lo esperado"", ""mas de lo esperado""]"
予想以上,ru,"[""Больше, чем ожидалось"", ""Более чем ожидалось""]"
予期せぬ,es,"[""inesperado"", ""imprevisto"", ""improviso""]"
予期せぬ,ru,"[""непредвиденный"", ""неожиданный"", ""неожиданно""]"
予研,es,"[""yugo"", ""Yoken""]"
予研,ru,"[""Йокен"", ""Ёкен""]"
予約注文,es,"[""Hacer un pedido"", ""Reservar"", ""Preordenar""]"
予約注文,ru,"[""Предварительный заказ"", ""Предзаказ""]"
予言,es,"[""predecir"", ""vaticinar"", ""pronosticar""]"
予言,ru,"[""предсказание, пророчество"", ""{～する} предсказывать, пророчить""]"
予防接種,es,"[""vacunación"", ""vacuna"", ""inyección""]"
予防線,es,"[""linea preventiva"", ""Línea preventiva""]"
争奪,es,"[""lucha"", ""arrebatiña"", ""mezclar""]"
争点,es,"[""punto de discordia"", ""punto de contención""]"
事,es,"[""cosa"", ""materia"", ""hecho""]"
事,ru,"[""(инфикс в значении) он же, иначе [называемый]"", ""1) дело, обстоятельство"", ""2) происшествие, инцидент"", ""неприятность""]"
事がある,es,"[""algo paso"", ""algo sucedió""]"
事がある,ru,"[""Что-то случилось"", ""что-то произошло""]"
事がない,es,"[""No tiene nada de malo"", ""No hay nada malo en ello.""]"
事がない,ru,"[""В этом нет ничего плохого"", ""В этом нет ничего страшного""]"
事にする,es,"[""hacer algo"", ""Haz algo""]"
事によって,es,"[""por el asunto"", ""por la materia""]"
事によって,ru,"[""по делу"", ""по этому поводу""]"
事により,es,"[""debido a las circunstancias"", ""Debido a circunstancias""]"
事により,ru,"[""в силу обстоятельств"", ""в связи с обстоятельствами""]"
事による,es,"[""Depende del asunto"", ""depende del tema""]"
事による,ru,"[""Зависит от дела"", ""В зависимости от дела""]"
事件記者,es,"[""reportero de incidentes"", ""periodista de incidentes""]"
事件記者,ru,"[""репортер инцидента"", ""репортер происшествий""]"
事例,es,"[""estudio de caso"", ""caso de estudio""]"
事例集,es,"[""Estudios de caso"", ""Estudios de casos""]"
事例集,ru,"[""Тематические исследования"", ""Кейсы""]"
事前,es,"[""avance"", ""avanzar"", ""adelanto""]"
事務取扱,es,"[""Manejo administrativo"", ""Tramitación administrativa""]"
事務官,es,"[""oficinista"", ""secretario"", ""trabajar como vendedor""]"
事務局,es,"[""secretaría"", ""secretariado""]"
事務当局,es,"[""autoridad administrativa""]"
事務当局,ru,"[""административный орган"", ""администрация""]"
事務次官,es,"[""Secretario Permanente""]"
事務総局,es,"[""Secretaría General""]"
事変,es,"[""incidente"", ""suceso"", ""episodio""]"
事実無根,es,"[""infundado"", ""sin tierra"", ""sin fundamento""]"
事後,es,"[""después del hecho"", ""luego del hecho""]"
事業家,es,"[""hombre de negocios"", ""empresario""]"
事業所,ru,"[""Офис"", ""Управление""]"
事象,es,"[""fenómeno"", ""Fenomeno""]"
二,es,"[""dos"", ""dos (usado en documentos)""]"
二,ru,"[""(в устных числовых обозначениях) два, (напр.) 二千"", ""フタセン"", ""三百 две тысячи триста""]"
二つ目,es,"[""segundo"", ""instante"", ""segunda""]"
二つ目,ru,"[""второй"", ""секунда"", ""вторая""]"
二つ返事,es,"[""dos respuestas""]"
二の次,ru,"[""вторичный"", ""второстепенный""]"
二の足,es,"[""partido de vuelta"", ""segundo partido""]"
二七日,es,"[""día 27"", ""27 dia""]"
二三,es,"[""dos-tres"", ""dos o tres""]"
二人とも,ru,"[""мы оба"", ""мы двое""]"
二人三脚,es,"[""trípode para dos""]"
二人三脚,ru,"[""штатив для двоих"", ""трипод для двоих""]"
二人前,es,"[""2 porciones"", ""2 personas""]"
二人連れ,es,"[""dos personas"", ""dos gente""]"
二佐,es,"[""segundo coronel""]"
二佐,ru,"[""Второй полковник"", ""полковник второй""]"
二元,es,"[""binario""]"
二元論,es,"[""dualismo"", ""dualidad""]"
二分,es,"[""2 minutos""]"
二割,ru,"[""20%"", ""20  %""]"
二十四時間制,es,"[""sistema de veinticuatro horas"", ""sistema las veinticuatro horas""]"
二十歳,es,"[""veinte años"", ""20 años de edad""]"
二号,es,"[""No. 2"", ""N°2""]"
二回,es,"[""dos veces"", ""doblemente""]"
二塁,es,"[""segunda base""]"
二塁,ru,"[""вторая база"", ""вторая основа""]"
二塁手,es,"[""segunda base"", ""Segundo base""]"
二塁手,ru,"[""игрок второй базы"", ""второй игрок с низов""]"
二塁打,es,"[""doble"", ""dobles"", ""duplicar""]"
二塁打,ru,"[""двойной"", ""двухместный""]"
二宮,es,"[""Ninomiya"", ""ninomia""]"
二度と,ru,"[""вторично, снова, ещё раз"", ""{～する} повторять""]"
二度寝,ru,"[""Спи дважды"", ""Спать дважды""]"
二手,es,"[""segundo movimiento"", ""segundo paso""]"
二期,es,"[""segundo periodo"", ""Segundo período""]"
二本立て,ru,"[""двойная функция"", ""Двойная особенность""]"
二枚舌,es,"[""duplicidad"", ""doblez"", ""duplicación""]"
二次,ru,"[""вторичный"", ""второстепенный""]"
二次会,es,"[""fiesta posterior"", ""después de la fiesta""]"
二次元,es,"[""bidimensional"", ""dos dimensiones""]"
二次元,ru,"[""двумерный"", ""двухмерное""]"
二次的,es,"[""secundario"", ""derivado"", ""indirecto""]"
二次的,ru,"[""вторичный"", ""второстепенный""]"
二死,es,"[""Dos outs"", ""Dos eliminados""]"
二死,ru,"[""Два аута"", ""Два выходов""]"
二段構え,es,"[""Postura de dos etapas"", ""postura en dos etapas""]"
二段構え,ru,"[""Двухэтапная позиция"", ""Двухступенчатая стойка""]"
二百二十日,es,"[""220 días"", ""220 dias""]"
二百十日,es,"[""210 días"", ""210 dias""]"
二目,es,"[""segundo ojo""]"
二者,es,"[""dos partidos"", ""dos fiestas""]"
二者択一,es,"[""elección"", ""opción"", ""selección""]"
二色,es,"[""dos colores""]"
二葉,es,"[""brote (de una planta)"", ""yema""]"
二葉,ru,"[""(бот.) семядоля""]"
二言,es,"[""dos palabras""]"
二軍,es,"[""segundo ejército"", ""Segundo ejercito""]"
二軍,ru,"[""вторая армия"", ""вторую армию""]"
二輪車,es,"[""motocicleta"", ""ciclomotor"", ""ciclomoto""]"
二通り,es,"[""dos maneras"", ""dos formas""]"
二部,es,"[""segunda parte""]"
二酸化炭素,ru,"[""углекислый газ"", ""диоксид углерода""]"
二重価格制,es,"[""sistema de doble precio"", ""sistema de precios duales""]"
二重写し,es,"[""doble copia"", ""copia doble""]"
二院,es,"[""dos casas"", ""dos viviendas""]"
二階建て,es,"[""edificio de dos pisos"", ""edificio de dos plantas""]"
二食,es,"[""dos comidas"", ""Dos comida""]"
互助,es,"[""ayuda mutua"", ""asistencia mutua""]"
互換,es,"[""compatible"", ""conciliable"", ""compatibles""]"
互換,ru,"[""совместимый"", ""Совместимость""]"
互角,es,"[""igualado"", ""Igualados""]"
互選,es,"[""Selección mutua""]"
五,es,"[""cuándo"", ""cinco""]"
五,ru,"[""пять""]"
五人組,es,"[""grupo de cinco""]"
五体,es,"[""cinco cuerpos"", ""Cinco cadáveres""]"
五分,es,"[""5 minutos""]"
五十三次,es,"[""cincuenta y tres grados"", ""cuarenta y tres grados""]"
五月晴れ,es,"[""Tiempo soleado en mayo"", ""Clima soleado en mayo""]"
五月雨,es,"[""puede llover"", ""mayo lluvia""]"
五線,es,"[""personal"", ""empleados"", ""bastón""]"
五線,ru,"[""персонал"", ""штатный"", ""сотрудники""]"
五線譜,es,"[""notación de pentagrama"", ""notacion de personal""]"
五色,es,"[""cinco colores"", ""cinco color""]"
五重,es,"[""cinco veces"", ""quíntuplo"", ""quíntuple""]"
井戸水,ru,"[""колодезная вода"", ""вода из скважины""]"
些細,es,"[""trivial"", ""insignificante"", ""banal""]"
亜爾加里,ru,"[""Аэрикари"", ""Аерикари"", ""alkali""]"
亜硫酸ガス,ru,"[""сернистый газ"", ""диоксид серы""]"
亡き後,es,"[""despues de la muerte"", ""Después de la muerte.""]"
亡くす,ru,"[""терять"", ""проиграть""]"
亡くなる,ru,"[""умереть"", ""погибнуть""]"
亡国,es,"[""exilio"", ""destierro"", ""exiliar""]"
亡夫,es,"[""esposo difunto"", ""difunto marido"", ""marido difunto""]"
亡父,es,"[""difunto padre"", ""padre fallecido""]"
亢進,es,"[""realce"", ""acrecentamiento"", ""realzamiento""]"
交じり,es,"[""mezclándose"", ""mezclando""]"
交わり,es,"[""compañerismo"", ""asociación"", ""beca universitaria""]"
交信,es,"[""comunicación"", ""timbre de alarma"", ""comunicacion""]"
交戦国,es,"[""país beligerante"", ""pais beligerante""]"
交換条件,es,"[""Condiciones de cambio"", ""Condiciones de intercambio""]"
交換条件,ru,"[""Условия обмена""]"
交易,es,"[""comercio"", ""comerciar"", ""comercial""]"
交歓,es,"[""intercambio de cortesías"", ""cambio de cortesías""]"
交遊,es,"[""socializar"", ""Socializando""]"
交配,es,"[""apareamiento"", ""pareo"", ""apareándose""]"
交錯,es,"[""intersección"", ""cruce"", ""sección""]"
交際費,es,"[""Gastos de entretenimiento"", ""Gastos de ocio""]"
交響,es,"[""sinfonía"", ""harmonía"", ""sinfónica""]"
交響,ru,"[""симфония"", ""симптоматика""]"
交響詩,es,"[""poema sinfónico"", ""poema sinfonico""]"
享年,es,"[""vejez"", ""edad avanzada""]"
京,es,"[""capital""]"
京劇,es,"[""Ópera de Pekín"", ""Ópera de Beijing""]"
京劇,ru,"[""Пекинская опера""]"
京阪,es,"[""Kyoto-Osaka""]"
京阪,ru,"[""р-н Киото и Осака"", ""Киото, Осака и их окрестности"", ""(сокр.) города Киото и Осака""]"
人,ru,"[""1) человек, люди"", ""2) личность, характер"", ""3) достойный человек"", ""подходящий человек"", ""взрослый человек""]"
人たち,ru,"[""люди"", ""населять"", ""человек""]"
人だかり,ru,"[""толпа людей"", ""скопление людей""]"
人一倍,es,"[""el doble de personas"", ""El doble de gente""]"
人中,es,"[""filtro"", ""philtrum""]"
人事,es,"[""recursos humanos""]"
人事異動,es,"[""Cambios de personal"", ""Los cambios de personal""]"
人事異動,ru,"[""Кадровые изменения"", ""Кадровые преобразования""]"
人事院,es,"[""Autoridad Nacional de Personal""]"
人事院,ru,"[""Национальное управление кадров"", ""Национальное кадровое управление""]"
人体,es,"[""cuerpo humano""]"
人前,es,"[""(en) público"", ""(guardar las) apariencias""]"
人前,ru,"["": {～で} при (на) людях""]"
人力,es,"[""poder humano""]"
人家,es,"[""casa humana""]"
人工呼吸,es,"[""respiración artificial"", ""respirar""]"
人工呼吸,ru,"[""искусственное дыхание""]"
人工透析,ru,"[""искусственный диализ"", ""искусственное диализ""]"
人当たり,es,"[""por persona""]"
人形使い,es,"[""titiritero"", ""marionetista""]"
人形浄瑠璃,es,"[""Ningyo Joruri""]"
人形浄瑠璃,ru,"[""Нингё Джорури"", ""Нингё Йорури""]"
人心,es,"[""corazón humano"", ""Corazon humano""]"
人情味,es,"[""Humanidad"", ""Población"", ""Poblado""]"
人数,ru,"[""число (количество) людей""]"
人文,es,"[""humanidades"", ""humanas""]"
人文字,es,"[""personajes humanos"", ""caracteres humanos""]"
人文字,ru,"[""человеческие персонажи"", ""человеческие характеры""]"
人望,es,"[""popularidad"", ""fama""]"
人格者,es,"[""persona de carácter"", ""persona de caracter""]"
人様,es,"[""Gente"", ""Personas"", ""Pueblo""]"
人権擁護,ru,"[""защита прав человека""]"
人民元,es,"[""CNY"", ""yuanes""]"
人民元,ru,"[""китайский юань"", ""юань""]"
人気,es,"[""popularidad""]"
人気,ru,"[""1) настроение (дух) народа"", ""поведение"", ""2) популярность, успех"", ""3) состояние рынка""]"
人気のある,es,"[""popular"", ""de moda"", ""estimado""]"
人気のある,ru,"[""популярный"", ""популярные""]"
人気取り,es,"[""popular"", ""de moda"", ""estimado""]"
人気者,es,"[""persona popular"", ""persona famosa""]"
人波,es,"[""ola de gente"", ""Ola de personas""]"
人減らし,es,"[""Reducir el número de personas"", ""Reducir número de personas""]"
人減らし,ru,"[""Сократить количество людей"", ""Уменьшите количество людей""]"
人災,es,"[""desastre provocado por el hombre"", ""desastre hecho por el hombre""]"
人災,ru,"[""техногенная катастрофа"", ""техногенная беда""]"
人畜,es,"[""humanos y animales"", ""humana y animal""]"
人的,es,"[""humano"", ""humana""]"
人脈,es,"[""red"", ""cadena"", ""malla""]"
人脈,ru,"[""сеть"", ""сети""]"
人身,es,"[""ser humano"", ""siendo humano""]"
人身事故,es,"[""accidente de lesiones personales"", ""accidente con lesiones personales""]"
人身事故,ru,"[""несчастный случай с травмами"", ""несчастный случай, причинивший вред здоровью""]"
人道主義,es,"[""humanitarismo"", ""humanitariaismo""]"
人里,es,"[""aldea humana"", ""pueblo humano""]"
人間,ru,"[""человек"", ""человечество""]"
人間ドック,es,"[""chequeo medico completo"", ""examen médico completo""]"
人間像,es,"[""figura humana"", ""cifra humana""]"
人間像,ru,"[""человеческая фигура"", ""фигура человека""]"
人間国宝,es,"[""tesoro nacional viviente"", ""tesoro nacional vivo""]"
人間国宝,ru,"[""живое национальное достояние"", ""живое национальное богатство""]"
人間工学,es,"[""ergonomía"", ""ciencia ergonómica"", ""ergonómica""]"
人間工学,ru,"[""эргономика"", ""эргономичность""]"
人間的,ru,"[""человек"", ""человеческий""]"
人間関係,ru,"[""отношения"", ""взаимоотношения""]"
人面,es,"[""rostro humano"", ""cara humana""]"
人頭税,es,"[""impuesto de capitación"", ""impuesto electoral""]"
人骨,ru,"[""человеческие кости"", ""кости человека""]"
仁王,es,"[""nioh"", ""Nio""]"
仇討ち,es,"[""venganza""]"
今,ru,"[""теперь, сейчас"", ""{～の} теперешний, нынешний"", ""{～から} а) отныне"", ""впредь"", ""б) теперь, сейчас""]"
今一,es,"[""Imaichi""]"
今一,ru,"[""Имаичи"", ""Имаити""]"
今季,es,"[""esta temporada"", ""Esta estación""]"
今季,ru,"[""В этом сезоне"", ""Этот сезон""]"
今年度,ru,"[""В этом году"", ""Этот год""]"
今日この頃,es,"[""Hoy a esta hora"", ""Alrededor de esta hora hoy""]"
今日この頃,ru,"[""Примерно в это же время сегодня"", ""Сегодня примерно в это время""]"
今日的,es,"[""de hoy"", ""el de hoy""]"
今日的,ru,"[""сегодняшний"", ""сегодняшние""]"
今春,es,"[""esta primavera""]"
今期,es,"[""este término"", ""Este termino""]"
今様,es,"[""Sr. Ima"", ""señor ima""]"
今秋,es,"[""este otoño""]"
今般,es,"[""Recientemente"", ""Hace poco"", ""Recién""]"
今週末,es,"[""este fin de semana"", ""este semana""]"
今週末,ru,"[""в эти выходные"", ""на этих выходных""]"
今風,es,"[""moderno""]"
今風,ru,"[""современный"", ""современное""]"
介して,es,"[""a través de"", ""por"", ""mediante""]"
介助,es,"[""Asistencia"", ""Ayuda"", ""Auxilio""]"
介助,ru,"[""Помощь"", ""Поддержка""]"
介在,es,"[""intervención"", ""intervencion""]"
介添え,es,"[""asistencia"", ""ayuda"", ""auxilio""]"
介護,ru,"[""уход за больными"", ""сестринская помощь""]"
介護保険,es,"[""Seguro de cuidados de enfermería"", ""Seguro de atención de enfermería""]"
介護保険,ru,"[""Страхование по уходу"", ""Страхование ухода за больными""]"
仏,es,"[""Francia (eng: France)""]"
仏,ru,"[""1) будда"", ""2) изображение будды"", ""3) покойник""]"
仏具,es,"[""utensilios budistas""]"
仏具,ru,"[""Буддийская посуда"", ""Буддийская утварь""]"
仏典,es,"[""escrituras budistas""]"
仏前,es,"[""estatua de buda""]"
仏塔,ru,"[""пагода""]"
仏学,es,"[""estudios budistas""]"
仏師,es,"[""escultor budista""]"
仏師,ru,"[""Буддийский скульптор"", ""Буддистский скульптор""]"
仏文,es,"[""texto en francés"", ""Texto francés""]"
仏法,es,"[""Budismo"", ""budista""]"
仏画,es,"[""pintura budista"", ""cuadro budista""]"
仏門,es,"[""puerta budista""]"
仏間,es,"[""sala de buda"", ""Habitación de Buda""]"
仏頂面,es,"[""cima de buda"", ""parte superior de buda""]"
仏領,es,"[""territorio francés""]"
仕,es,"[""Servicio"", ""Servir"", ""De servicio""]"
仕,ru,"[""Услуга"", ""Оказывать услугу"", ""Сервис""]"
仕事中,ru,"[""На работе"", ""За работой""]"
仕事始め,es,"[""empezar a trabajar"", ""comenzar a trabajar""]"
仕事師,es,"[""Obrero"", ""trabajador"", ""trabajadores""]"
仕事柄,es,"[""Patrón de trabajo"", ""patron de trabajo""]"
仕事柄,ru,"[""Схема работы"", ""График работы""]"
仕入れ先,es,"[""Proveedor"", ""Vendedor""]"
仕出し,es,"[""atendido"", ""abastecido""]"
仕分け,es,"[""clasificación"", ""ordenar""]"
仕切り,es,"[""dividir"", ""tabique"", ""parte""]"
仕向け,es,"[""destino"", ""suerte"", ""objetivo""]"
仕向ける,es,"[""provocar"", ""incitar"", ""poner""]"
仕手株,es,"[""acciones de mierda"", ""Acción de mierda""]"
仕手株,ru,"[""Дерьмовый запас"", ""Дерьмовый сток""]"
仕打ち,es,"[""Castigo"", ""Escarmiento"", ""Paliza""]"
仕方がない,es,"[""no puedo evitarlo"", ""no lo puedo ayudar""]"
仕方がない,ru,"[""я ничего не могу поделать"", ""Я ничего не могу с этим поделать""]"
仕方ない,ru,"[""я ничего не могу поделать"", ""Я ничего не могу с этим поделать""]"
仕様書,es,"[""especificación"", ""presupuesto detallado"", ""especificaciones""]"
仕立て,es,"[""sastrería"", ""confección""]"
仕舞った,es,"[""lo guardé"", ""lo guarde""]"
仕舞った,ru,"[""я убрал это"", ""я отложил это""]"
仕草,es,"[""gesto"", ""ademán"", ""muestra""]"
仕込み,es,"[""Preparación"", ""Preparado"", ""Deberes""]"
仕込む,es,"[""preparar"", ""prepararse"", ""confeccionar""]"
他にも,es,"[""además""]"
他にも,ru,"[""кроме"", ""также""]"
他力,es,"[""otro poder"", ""Otros poderes""]"
他山の石,es,"[""piedras de otras montañas"", ""Piedras de otras montañas.""]"
他山の石,ru,"[""камни с других гор"", ""камни других гор.""]"
他店,es,"[""Otras tiendas""]"
他意,es,"[""Otro significado"", ""Otro sentido""]"
他派,es,"[""Otra secta""]"
他派,ru,"[""Другая секта"", ""Другие секты""]"
他社,es,"[""Otras empresas"", ""Otras compañías""]"
他社,ru,"[""Другие компании"", ""Остальные компании""]"
他者,ru,"[""другие"", ""остальные""]"
付いてくる,ru,"[""будет следовать"", ""последует""]"
付いてる,es,"[""esta adjunto"", ""Está adjunto""]"
付いてる,ru,"[""Это прикреплено"", ""Это прилагается""]"
付き,es,"[""Con"", ""De"", ""Al""]"
付き人,es,"[""Asistente"", ""Encargado"", ""Acompañante""]"
付き人,ru,"[""Дежурный"", ""Сопровождающий""]"
付き添い,es,"[""asistente"", ""encargado"", ""acompañante""]"
付き添い看護婦,es,"[""enfermera asistente"", ""asistente de enfermería""]"
付き添い看護婦,ru,"[""дежурная медсестра"", ""санитарка""]"
付き添う,es,"[""acompañar"", ""acompañar de"", ""acompaña""]"
付く,es,"[""ponerse"", ""adjuntarse"", ""adherirse""]"
付く,ru,"[""прикрепляться"", ""прилипать"", ""1) ((тк.) 付く) прилипать, приставать"", ""попадать (на что-л.)""]"
付け人,es,"[""suite"", ""juego"", ""séquito""]"
付け入る,es,"[""aprovechar"", ""aprovecharse de"", ""aprovecha de""]"
付け出し,es,"[""factura"", ""facturar"", ""proyecto de ley""]"
付け加え,es,"[""suma"", ""adición"", ""añadidura""]"
付け届け,es,"[""informe"", ""informar"", ""memoria""]"
付け根,es,"[""raíz"", ""radical"", ""origen""]"
付する,es,"[""adjuntar"", ""atar"", ""unir""]"
付則,es,"[""Disposiciones complementarias"", ""Disposiciones adicionales""]"
付帯,es,"[""incidental"", ""accidental"", ""accesorio""]"
付言,es,"[""Observaciones adicionales"", ""Comentarios adicionales""]"
付託,es,"[""Remisión"", ""Referencia""]"
付記,es,"[""Notas adicionales"", ""Observaciones adicionales""]"
付随,es,"[""acompañamiento"", ""que acompaña"", ""acompañando""]"
仙,es,"[""inmortal"", ""imperecedero"", ""cent (monetary unit)""]"
仙人,es,"[""Ermitaño"", ""Eremita""]"
